postId,likesCount,sharesCount,commentsCount,date
913883067449156,372,160,250,2024-06-10T09:00:19.000Z
995457482237268,106,8,3,2024-05-28T07:00:40.000Z
1004572421709280,26,3,48,2024-11-12T02:34:16.000Z
1006285747523560,984,25,783,2024-06-10T06:30:02.000Z
873550781472888,1183,556,385,2024-05-27T13:41:15.000Z
1013841426754220,7836,1811,1568,2024-06-10T10:24:31.000Z
759799999641782,2068,323,73,2024-05-28T13:09:37.000Z
801410255353608,39,28,2,2024-01-31T14:11:40.000Z
999867018163980,49,7,14,2024-05-23T07:08:25.000Z
471192098786012,46,4,3,2024-06-06T16:48:21.000Z
1003056141185120,289,6,31,2024-05-05T13:48:11.000Z
848224700678937,232,19,31,2024-06-12T19:37:29.000Z
997244988425281,242,60,119,2024-05-07T12:28:20.000Z
999654548196282,1023,105,387,2024-05-02T13:50:17.000Z
821385560015190,28,4,13,2024-04-16T08:46:02.000Z
1671360893682690,1,0,0,2024-05-20T11:09:49.000Z
874991207994561,49,43,2,2024-06-06T16:08:35.000Z
1008342550650910,119,69,1,2024-06-01T13:00:17.000Z
893089435958978,68,22,10,2024-06-01T18:59:15.000Z
3793605717591960,82,0,25,2024-06-10T06:29:25.000Z
984582986445561,1251,174,170,2024-06-07T14:42:48.000Z
878454560752981,99,4,3,2024-05-25T11:41:25.000Z
881349090463528,72,6,8,2024-05-30T13:55:31.000Z
923823162883900,213,34,34,2024-05-03T10:15:48.000Z
879331680667600,50,5,3,2024-05-09T09:24:35.000Z
10234806362724000,8,1,1,2024-11-12T18:54:31.000Z
8710843695639940,67,7,12,2024-10-22T17:49:59.000Z
896301289195078,43,8,64,2024-06-10T10:13:22.000Z
10234147309728100,231,215,54,2024-10-04T10:00:22.000Z
10234284272712100,69,16,10,2024-10-17T13:34:45.000Z
869324088560244,51,8,33,2024-06-09T23:30:54.000Z
1030785858406730,928,100,454,2024-06-10T09:19:45.000Z
855397573293444,67,4,5,2024-06-10T11:19:27.000Z
1012923073524830,46,7,2,2024-06-07T13:41:31.000Z
815728483751029,314,13,27,2024-04-28T12:59:59.000Z
874639128042160,3894,2795,748,2024-06-09T06:00:40.000Z
873832697901217,123,14,5,2024-06-17T18:09:36.000Z
1040769460743830,180,78,36,2024-05-21T07:48:04.000Z
991140599029922,686,103,49,2024-06-08T17:00:18.000Z
1032903768835670,204,2,10,2024-06-08T13:53:25.000Z
1056522639172920,316,4,23,2024-06-09T11:47:07.000Z
970253277803606,116,21,31,2024-05-02T16:40:27.000Z
868992248601003,29,3,14,2024-06-10T14:45:08.000Z
997704638386444,69,3,6,2024-05-25T21:37:49.000Z
1001335368016450,439,49,81,2024-05-22T23:05:14.000Z
873092211519294,450,57,141,2024-06-09T15:46:58.000Z
948098640013872,1062,45,23,2024-03-04T14:56:25.000Z
839849691338908,810,2,111,2024-06-08T15:21:44.000Z
851097193493061,191,36,9,2024-04-10T18:18:34.000Z
1009701743849520,212,30,3,2024-06-08T11:56:23.000Z
880760440751922,72,38,12,2024-06-08T11:38:08.000Z
435552065745035,41,2,4,2024-05-08T18:48:16.000Z
880967974064502,19,6,2,2024-06-08T18:45:12.000Z
452909030676005,35,5,7,2024-06-06T21:00:59.000Z
1016446226512320,247,3,48,2024-06-09T08:09:10.000Z
1004209737736420,790,14,806,2024-05-07T09:13:12.000Z
344873341733192,2035,453,437,2024-06-10T08:37:32.000Z
1044401877045680,195,12,39,2024-05-02T14:53:14.000Z
